RefugeName,OnOffRefuge,PRIMR,Year,StateNum,Route,RouteName,ScientificName,AOU,GenusName,SpeciesName,CommonName,Active,Latitude,Longitude,Stratum,BCR
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Leucophaeus pipixcan,590,Leucophaeus,pipixcan,Franklin's Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Anas platyrhynchos,1320,Anas,platyrhynchos,Mallard,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Spatula cyanoptera,1410,Spatula,cyanoptera,Cinnamon Teal,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Aythya affinis,1490,Aythya,affinis,Lesser Scaup,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Charadrius vociferus,2730,Charadrius,vociferus,Killdeer,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Columba livia,3131,Columba,livia,Rock Pigeon,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Zenaida macroura,3160,Zenaida,macroura,Mourning Dove,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Circus hudsonius,3310,Circus,hudsonius,Northern Harrier,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Buteo jamaicensis,3370,Buteo,jamaicensis,Red-tailed Hawk,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Buteo swainsoni,3420,Buteo,swainsoni,Swainson's Hawk,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Chordeiles minor,4200,Chordeiles,minor,Common Nighthawk,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Tyrannus tyrannus,4440,Tyrannus,tyrannus,Eastern Kingbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Tyrannus verticalis,4470,Tyrannus,verticalis,Western Kingbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Eremophila alpestris,4740,Eremophila,alpestris,Horned Lark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Pica hudsonia,4750,Pica,hudsonia,Black-billed Magpie,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Corvus brachyrhynchos,4880,Corvus,brachyrhynchos,American Crow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Sturnus vulgaris,4930,Sturnus,vulgaris,European Starling,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Molothrus ater,4950,Molothrus,ater,Brown-headed Cowbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Xanthocephalus xanthocephalus,4970,Xanthocephalus,xanthocephalus,Yellow-headed Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Agelaius phoeniceus,4980,Agelaius,phoeniceus,Red-winged Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Sturnella neglecta,5011,Sturnella,neglecta,Western Meadowlark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Icterus bullockii,5080,Icterus,bullockii,Bullock's Oriole,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Euphagus cyanocephalus,5100,Euphagus,cyanocephalus,Brewer's Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Haemorhous mexicanus,5190,Haemorhous,mexicanus,House Finch,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Pooecetes gramineus,5400,Pooecetes,gramineus,Vesper Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Passerculus sandwichensis,5420,Passerculus,sandwichensis,Savannah Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Petrochelidon pyrrhonota,6120,Petrochelidon,pyrrhonota,Cliff Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Hirundo rustica,6130,Hirundo,rustica,Barn Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Stelgidopteryx serripennis,6170,Stelgidopteryx,serripennis,Northern Rough-winged Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Setophaga petechia,6520,Setophaga,petechia,Yellow Warbler,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Geothlypis trichas,6810,Geothlypis,trichas,Common Yellowthroat,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Passer domesticus,6882,Passer,domesticus,House Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Troglodytes aedon,7210,Troglodytes,aedon,House Wren,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Sitta canadensis,7280,Sitta,canadensis,Red-breasted Nuthatch,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1997,33,221,MUD LAKE,Turdus migratorius,7610,Turdus,migratorius,American Robin,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Larus delawarensis,540,Larus,delawarensis,Ring-billed Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Leucophaeus pipixcan,590,Leucophaeus,pipixcan,Franklin's Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Anas platyrhynchos,1320,Anas,platyrhynchos,Mallard,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Mareca strepera,1350,Mareca,strepera,Gadwall,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Spatula cyanoptera,1410,Spatula,cyanoptera,Cinnamon Teal,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Spatula clypeata,1420,Spatula,clypeata,Northern Shoveler,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Aythya americana,1460,Aythya,americana,Redhead,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Plegadis chihi,1870,Plegadis,chihi,White-faced Ibis,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Fulica americana,2210,Fulica,americana,American Coot,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Phalaropus tricolor,2240,Phalaropus,tricolor,Wilson's Phalarope,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Recurvirostra americana,2250,Recurvirostra,americana,American Avocet,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Tringa semipalmata,2580,Tringa,semipalmata,Willet,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Numenius americanus,2640,Numenius,americanus,Long-billed Curlew,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Charadrius vociferus,2730,Charadrius,vociferus,Killdeer,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Phasianus colchicus,3091,Phasianus,colchicus,Ring-necked Pheasant,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Columba livia,3131,Columba,livia,Rock Pigeon,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Zenaida macroura,3160,Zenaida,macroura,Mourning Dove,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Circus hudsonius,3310,Circus,hudsonius,Northern Harrier,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Buteo swainsoni,3420,Buteo,swainsoni,Swainson's Hawk,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Aquila chrysaetos,3490,Aquila,chrysaetos,Golden Eagle,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Falco sparverius,3600,Falco,sparverius,American Kestrel,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Tyrannus verticalis,4470,Tyrannus,verticalis,Western Kingbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Eremophila alpestris,4740,Eremophila,alpestris,Horned Lark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Pica hudsonia,4750,Pica,hudsonia,Black-billed Magpie,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Corvus brachyrhynchos,4880,Corvus,brachyrhynchos,American Crow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Sturnus vulgaris,4930,Sturnus,vulgaris,European Starling,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Molothrus ater,4950,Molothrus,ater,Brown-headed Cowbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Xanthocephalus xanthocephalus,4970,Xanthocephalus,xanthocephalus,Yellow-headed Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Agelaius phoeniceus,4980,Agelaius,phoeniceus,Red-winged Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Sturnella neglecta,5011,Sturnella,neglecta,Western Meadowlark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Icterus bullockii,5080,Icterus,bullockii,Bullock's Oriole,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Euphagus cyanocephalus,5100,Euphagus,cyanocephalus,Brewer's Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Haemorhous mexicanus,5190,Haemorhous,mexicanus,House Finch,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Passerculus sandwichensis,5420,Passerculus,sandwichensis,Savannah Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Melospiza melodia,5810,Melospiza,melodia,Song Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Passerina amoena,5990,Passerina,amoena,Lazuli Bunting,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Hirundo rustica,6130,Hirundo,rustica,Barn Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Setophaga petechia,6520,Setophaga,petechia,Yellow Warbler,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Geothlypis trichas,6810,Geothlypis,trichas,Common Yellowthroat,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Passer domesticus,6882,Passer,domesticus,House Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1998,33,221,MUD LAKE,Turdus migratorius,7610,Turdus,migratorius,American Robin,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Larus delawarensis,540,Larus,delawarensis,Ring-billed Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Leucophaeus pipixcan,590,Leucophaeus,pipixcan,Franklin's Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Anas platyrhynchos,1320,Anas,platyrhynchos,Mallard,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Mareca strepera,1350,Mareca,strepera,Gadwall,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Spatula cyanoptera,1410,Spatula,cyanoptera,Cinnamon Teal,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Aythya affinis,1490,Aythya,affinis,Lesser Scaup,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Plegadis chihi,1870,Plegadis,chihi,White-faced Ibis,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Porzana carolina,2140,Porzana,carolina,Sora,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Fulica americana,2210,Fulica,americana,American Coot,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Tringa semipalmata,2580,Tringa,semipalmata,Willet,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Charadrius vociferus,2730,Charadrius,vociferus,Killdeer,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Columba livia,3131,Columba,livia,Rock Pigeon,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Zenaida macroura,3160,Zenaida,macroura,Mourning Dove,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Cathartes aura,3250,Cathartes,aura,Turkey Vulture,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Circus hudsonius,3310,Circus,hudsonius,Northern Harrier,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Buteo swainsoni,3420,Buteo,swainsoni,Swainson's Hawk,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Falco sparverius,3600,Falco,sparverius,American Kestrel,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Colaptes auratus cafer,4130,Colaptes,auratus cafer,(Red-shafted Flicker) Northern Flicker,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Tyrannus verticalis,4470,Tyrannus,verticalis,Western Kingbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Eremophila alpestris,4740,Eremophila,alpestris,Horned Lark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Pica hudsonia,4750,Pica,hudsonia,Black-billed Magpie,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Corvus brachyrhynchos,4880,Corvus,brachyrhynchos,American Crow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Sturnus vulgaris,4930,Sturnus,vulgaris,European Starling,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Molothrus ater,4950,Molothrus,ater,Brown-headed Cowbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Xanthocephalus xanthocephalus,4970,Xanthocephalus,xanthocephalus,Yellow-headed Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Agelaius phoeniceus,4980,Agelaius,phoeniceus,Red-winged Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Sturnella neglecta,5011,Sturnella,neglecta,Western Meadowlark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Icterus bullockii,5080,Icterus,bullockii,Bullock's Oriole,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Euphagus cyanocephalus,5100,Euphagus,cyanocephalus,Brewer's Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Haemorhous mexicanus,5190,Haemorhous,mexicanus,House Finch,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Pooecetes gramineus,5400,Pooecetes,gramineus,Vesper Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Passerculus sandwichensis,5420,Passerculus,sandwichensis,Savannah Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Spizella breweri,5620,Spizella,breweri,Brewer's Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Petrochelidon pyrrhonota,6120,Petrochelidon,pyrrhonota,Cliff Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Hirundo rustica,6130,Hirundo,rustica,Barn Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Tachycineta bicolor,6140,Tachycineta,bicolor,Tree Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Setophaga petechia,6520,Setophaga,petechia,Yellow Warbler,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Passer domesticus,6882,Passer,domesticus,House Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,1999,33,221,MUD LAKE,Turdus migratorius,7610,Turdus,migratorius,American Robin,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Larus californicus,530,Larus,californicus,California Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Larus delawarensis,540,Larus,delawarensis,Ring-billed Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Leucophaeus pipixcan,590,Leucophaeus,pipixcan,Franklin's Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Mareca americana,1370,Mareca,americana,American Wigeon,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Spatula cyanoptera,1410,Spatula,cyanoptera,Cinnamon Teal,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Spatula clypeata,1420,Spatula,clypeata,Northern Shoveler,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Aythya affinis,1490,Aythya,affinis,Lesser Scaup,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Plegadis chihi,1870,Plegadis,chihi,White-faced Ibis,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Numenius americanus,2640,Numenius,americanus,Long-billed Curlew,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Charadrius vociferus,2730,Charadrius,vociferus,Killdeer,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Columba livia,3131,Columba,livia,Rock Pigeon,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Zenaida macroura,3160,Zenaida,macroura,Mourning Dove,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Circus hudsonius,3310,Circus,hudsonius,Northern Harrier,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Buteo swainsoni,3420,Buteo,swainsoni,Swainson's Hawk,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Falco sparverius,3600,Falco,sparverius,American Kestrel,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Dryobates villosus,3930,Dryobates,villosus,Hairy Woodpecker,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Chordeiles minor,4200,Chordeiles,minor,Common Nighthawk,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Tyrannus verticalis,4470,Tyrannus,verticalis,Western Kingbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Empidonax traillii,4660,Empidonax,traillii,Willow Flycatcher,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Eremophila alpestris,4740,Eremophila,alpestris,Horned Lark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Pica hudsonia,4750,Pica,hudsonia,Black-billed Magpie,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Corvus brachyrhynchos,4880,Corvus,brachyrhynchos,American Crow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Sturnus vulgaris,4930,Sturnus,vulgaris,European Starling,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Molothrus ater,4950,Molothrus,ater,Brown-headed Cowbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Xanthocephalus xanthocephalus,4970,Xanthocephalus,xanthocephalus,Yellow-headed Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Agelaius phoeniceus,4980,Agelaius,phoeniceus,Red-winged Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Sturnella neglecta,5011,Sturnella,neglecta,Western Meadowlark,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Euphagus cyanocephalus,5100,Euphagus,cyanocephalus,Brewer's Blackbird,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Haemorhous mexicanus,5190,Haemorhous,mexicanus,House Finch,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Spinus tristis,5290,Spinus,tristis,American Goldfinch,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Pooecetes gramineus,5400,Pooecetes,gramineus,Vesper Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Passerculus sandwichensis,5420,Passerculus,sandwichensis,Savannah Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Zonotrichia leucophrys,5540,Zonotrichia,leucophrys,White-crowned Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Spizella breweri,5620,Spizella,breweri,Brewer's Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Melospiza melodia,5810,Melospiza,melodia,Song Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Piranga ludoviciana,6070,Piranga,ludoviciana,Western Tanager,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Hirundo rustica,6130,Hirundo,rustica,Barn Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Tachycineta bicolor,6140,Tachycineta,bicolor,Tree Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Stelgidopteryx serripennis,6170,Stelgidopteryx,serripennis,Northern Rough-winged Swallow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Geothlypis trichas,6810,Geothlypis,trichas,Common Yellowthroat,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Passer domesticus,6882,Passer,domesticus,House Sparrow,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2000,33,221,MUD LAKE,Turdus migratorius,7610,Turdus,migratorius,American Robin,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Larus delawarensis,540,Larus,delawarensis,Ring-billed Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Leucophaeus pipixcan,590,Leucophaeus,pipixcan,Franklin's Gull,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Anas platyrhynchos,1320,Anas,platyrhynchos,Mallard,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Aythya affinis,1490,Aythya,affinis,Lesser Scaup,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Plegadis chihi,1870,Plegadis,chihi,White-faced Ibis,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Antigone canadensis,2060,Antigone,canadensis,Sandhill Crane,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Gallinago delicata,2300,Gallinago,delicata,Wilson's Snipe,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Tringa semipalmata,2580,Tringa,semipalmata,Willet,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Numenius americanus,2640,Numenius,americanus,Long-billed Curlew,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Charadrius vociferus,2730,Charadrius,vociferus,Killdeer,1,43.812427,-112.396012,89,9
Camas National Wildlife Refuge,off,0,2001,33,221,MUD LAKE,Centrocercus urophasianus,3090,Centrocercus,urophasianus,Greater Sage-Grouse,1,43.812427,-112.396012,89,9
